Voltage,Current,Temperature,Capacity,StandardDeviation,DCResistance,MeanofVariables,StateofCharge
4.17604,-0.15069,23.97615,2.99746,11.49291418,-0.039153228,7.00101,99.91533333
4.17014,-0.15069,23.97615,2.99239,11.49236934,-0.016789435,7.0008025,99.74633333
4.16761,-0.15069,23.76583,2.98986,11.38852164,-0.016443719,6.9482225,99.662
4.16509,-0.15325,23.66067,2.98732,11.3369821,-0.015399674,6.9212975,99.57733333
4.16273,-0.15325,23.76583,2.98478,11.38841991,-0.014599509,6.9476325,99.49266667
4.16053,-0.15069,23.76583,2.98225,11.38755401,-0.014533148,6.948355,99.40833333
4.15834,-0.15069,23.97615,2.97971,11.49077043,-0.013405004,7.0010225,99.32366667
4.15632,-0.15069,23.87099,2.97719,11.43864559,-0.013405004,6.9748575,99.23966667
4.1543,-0.15069,23.76583,2.97465,11.38652195,-0.012137031,6.9486975,99.155
4.15244,-0.15325,23.76583,2.97213,11.38669563,-0.013181077,6.9482225,99.071
4.15042,-0.15325,23.76583,2.96959,11.38634653,-0.01227686,6.9483525,98.98633333
4.14857,-0.15069,23.87099,2.96705,11.43723014,-0.011027732,6.975455,98.90166667
4.14688,-0.15325,23.87099,2.96452,11.43738937,-0.01227686,6.975025,98.81733333
4.14503,-0.15069,23.87099,2.96199,11.4364985,-0.011027732,6.975835,98.733
4.14334,-0.15325,23.87099,2.95945,11.43665628,-0.01096248,6.9754075,98.64833333
4.14166,-0.15325,23.76583,2.9569,11.38449733,-0.009918434,6.949335,98.56333333
4.14014,-0.15325,23.76583,2.95435,11.38410677,-0.011215077,6.9495925,98.47833333
4.13845,-0.15069,23.87099,2.95182,11.43498689,-0.009853181,6.9767325,98.394
4.13694,-0.15325,23.87099,2.94928,11.43513091,-0.009918434,6.97635,98.30933333
4.13542,-0.15325,23.87099,2.94675,11.43474608,-0.008809135,6.9766025,98.225
4.13407,-0.15325,23.87099,2.94421,11.43434537,-0.009918434,6.9769,98.14033333
4.13255,-0.15325,23.87099,2.94168,11.43396099,-0.008892428,6.9771525,98.056
4.13121,-0.15069,23.76583,2.93914,11.38123823,-0.00895879,6.9518025,97.97133333
4.12986,-0.15069,23.87099,2.93662,11.4326317,-0.008809135,6.978385,97.88733333
4.12851,-0.15325,23.87099,2.93409,11.43276606,-0.008809135,6.97804,97.803
4.12716,-0.15325,23.76583,2.93155,11.38057466,-0.007699837,6.9520475,97.71833333
4.12598,-0.15325,23.66067,2.92901,11.32837491,-0.007699837,6.9260975,97.63366667
4.1248,-0.15325,23.87099,2.92648,11.43154157,-0.007830646,6.979015,97.54933333
4.12362,-0.15069,23.76583,2.92394,11.3788013,-0.007699837,6.953705,97.46466667
4.12244,-0.15325,23.76583,2.92141,11.37892238,-0.007699837,6.9534025,97.38033333
4.12126,-0.15325,23.87099,2.91888,11.43030677,-0.007830646,6.98003,97.296
4.12008,-0.15069,23.97615,2.91636,11.48117007,-0.006702502,7.007295,97.212
4.11907,-0.15069,23.76583,2.91382,11.37714116,-0.007699837,6.9550975,97.12733333
4.11789,-0.15325,23.76583,2.91129,11.37726321,-0.006590538,6.954795,97.043
4.11688,-0.15325,23.97615,2.90875,11.48044165,-0.006702502,7.0077575,96.95833333
4.11587,-0.15069,23.76583,2.90621,11.3758764,-0.005640719,6.9562,96.87366667
4.11502,-0.15069,23.76583,2.90368,11.3754385,-0.006702502,6.95662,96.78933333
4.11401,-0.15069,23.76583,2.90114,11.37501208,-0.006590538,6.9570025,96.70466667
4.113,-0.15325,23.87099,2.89861,11.42692327,-0.005574358,6.9830325,96.62033333
