Voltage,Current,Temperature,Capacity,StandardDeviation,DCResistance,MeanofVariables,StateofCharge
4.17604,-0.15069,23.97615,0.00254,11.49291418,-0.039153228,7.00101,0.084666667
4.17014,-0.15069,23.97615,0.00761,11.49236934,-0.016789435,7.0008025,0.253666667
4.16761,-0.15069,23.76583,0.01014,11.38852164,-0.016443719,6.9482225,0.338
4.16509,-0.15325,23.66067,0.01268,11.3369821,-0.015399674,6.9212975,0.422666667
4.16273,-0.15325,23.76583,0.01522,11.38841991,-0.014599509,6.9476325,0.507333333
4.16053,-0.15069,23.76583,0.01775,11.38755401,-0.014533148,6.948355,0.591666667
4.15834,-0.15069,23.97615,0.02029,11.49077043,-0.013405004,7.0010225,0.676333333
4.15632,-0.15069,23.87099,0.02281,11.43864559,-0.013405004,6.9748575,0.760333333
4.1543,-0.15069,23.76583,0.02535,11.38652195,-0.012137031,6.9486975,0.845
4.15244,-0.15325,23.76583,0.02787,11.38669563,-0.013181077,6.9482225,0.929
4.15042,-0.15325,23.76583,0.03041,11.38634653,-0.01227686,6.9483525,1.013666667
4.14857,-0.15069,23.87099,0.03295,11.43723014,-0.011027732,6.975455,1.098333333
4.14688,-0.15325,23.87099,0.03548,11.43738937,-0.01227686,6.975025,1.182666667
4.14503,-0.15069,23.87099,0.03801,11.4364985,-0.011027732,6.975835,1.267
4.14334,-0.15325,23.87099,0.04055,11.43665628,-0.01096248,6.9754075,1.351666667
4.14166,-0.15325,23.76583,0.0431,11.38449733,-0.009918434,6.949335,1.436666667
4.14014,-0.15325,23.76583,0.04565,11.38410677,-0.011215077,6.9495925,1.521666667
4.13845,-0.15069,23.87099,0.04818,11.43498689,-0.009853181,6.9767325,1.606
4.13694,-0.15325,23.87099,0.05072,11.43513091,-0.009918434,6.97635,1.690666667
4.13542,-0.15325,23.87099,0.05325,11.43474608,-0.008809135,6.9766025,1.775
4.13407,-0.15325,23.87099,0.05579,11.43434537,-0.009918434,6.9769,1.859666667
4.13255,-0.15325,23.87099,0.05832,11.43396099,-0.008892428,6.9771525,1.944
4.13121,-0.15069,23.76583,0.06086,11.38123823,-0.00895879,6.9518025,2.028666667
4.12986,-0.15069,23.87099,0.06338,11.4326317,-0.008809135,6.978385,2.112666667
4.12851,-0.15325,23.87099,0.06591,11.43276606,-0.008809135,6.97804,2.197
4.12716,-0.15325,23.76583,0.06845,11.38057466,-0.007699837,6.9520475,2.281666667
4.12598,-0.15325,23.66067,0.07099,11.32837491,-0.007699837,6.9260975,2.366333333
4.1248,-0.15325,23.87099,0.07352,11.43154157,-0.007830646,6.979015,2.450666667
4.12362,-0.15069,23.76583,0.07606,11.3788013,-0.007699837,6.953705,2.535333333
4.12244,-0.15325,23.76583,0.07859,11.37892238,-0.007699837,6.9534025,2.619666667
4.12126,-0.15325,23.87099,0.08112,11.43030677,-0.007830646,6.98003,2.704
4.12008,-0.15069,23.97615,0.08364,11.48117007,-0.006702502,7.007295,2.788
4.11907,-0.15069,23.76583,0.08618,11.37714116,-0.007699837,6.9550975,2.872666667
4.11789,-0.15325,23.76583,0.08871,11.37726321,-0.006590538,6.954795,2.957
4.11688,-0.15325,23.97615,0.09125,11.48044165,-0.006702502,7.0077575,3.041666667
